qd1,qd2,phrase1,phrase2,label
1,2,man ever misliked,everybody nt burning hell get jewel say harsh savage voice,1
3,4,get affection gentleness,never,1
5,6,would beholden man say,never yet rest quieter know blood saw board drove nail,1
7,8,ever one clean,mean three dollar say,1
9,10,want u go,pa rub knee,1
11,12,well back tomorrow sundown,well pa say,1
13,14,look land awryhaired mouth snuff slowly gum,come jewel say,1
15,16,go step,vernon spit neatly dust,1
17,18,sundown pa say,would keep wait,1
19,20,jewel glance back go around house,enter hall hearing voice reach door,1
21,22,tilt little hill house breeze draw hall time upslanting,feather drop near front door rise brush along ceiling slant backward reach downturning current back door voice,1
23,24,enter hall sound though speak air head,like knew would never see anse bundren drive mother death bed never see world,1
25,26,always say darl different others,always say one mother nature natural affection,1
27,28,jewel one labor bear coddle pet fling tantrum sulk spell invent devilment devil would trail time time,come tell goodbye,1
29,30,miss chance make extra three dollar price mother goodbye kiss,bundren love nobody care nothing except get something least amount work,1
31,32,mr tull say darl ask wait,say darl almost beg knee force leave condition,1
33,34,nothing would anse jewel must make three dollar,nobody know anse could expect different think boy jewel sell year selfdenial downright partiality could nt fool mr tull say mr bundren like jewel least knew well,1
35,36,knew partial quality let put anse bundren mr tull say ought poison three dollar deny die mother goodbye ms,last three week come every time could come sometimes nt neglect family duty somebody would last moment would face great unknown without one familiar face give courage,1
37,38,deserve credit expect,thank god face love kin blood flesh husband child bless trial though time,1
39,40,live lonely woman lonely pride try make folk believe different hiding fact suffer cold coffin cart forty mile away bury flout god,refuse let lie earth bundrens,1
41,42,want go mr tull say,wish lie among people,1
43,44,nt go alive,say,1
45,46,one would stop even little one almost old enough selfish stonehearted like rest,wish mr tull say,1
47,48,would believe anse course say,man like would dont tell,1
49,50,believe something could nt expect make anything tell mr tull say,dont tell say,1
51,52,woman place husband child alive dead,would expect want go back alabama leave girl time come left cast lot well bad death,1
53,54,well folk different say,hope,1
55,56,try live right sight god man honor comfort christian husband love respect christian child,lay consciousness duty reward surround love face carry farewell kiss love one reward,1
57,58,like addie bundren die alone hiding pride broken heart,glad go,1
59,60,like nt decide make last load would load wagon quilt cross river first stop give time die christian death would let,except darl,1
61,62,sweetest thing ever saw,sometimes lose faith human nature time assail doubt,1
63,64,always lord restores faith reveals bounteous love creature,jewel one always cherished,1
65,66,three extra dollar,darl one folk say queer lazy potter place well anse cash good carpenter always building get around jewel always something make money get talk nearnaked girl always stand addie fan every time body try talk cheer would answer right quick like try keep anybody come near,1
67,68,darl,come door stood look die mother,1
69,70,look felt bounteous love lord mercy,saw jewel pretend darl understand true love,1
71,72,look even come could see get upset know anse drive away would never see,say nothing look,1
73,74,want darl,dewey dell say stop fan speak quick keep even,1
75,76,nt answer,stood look die mother heart full word,1
77,78,pa dassent sweat catch death sickness everybody come help u,jewel dont care anything kin u care carekin,1
79,80,cash like saw long hot sad yellow day plank nail something,pa think neighbor always treat one another way always busy let neighbor find,1
81,82,picked row wood get closer closer secret shade pick secret shade sack lafe sack,say wont sack half full say sack full get wood wont,1
83,84,say dont mean sack full turn next row sack full help,time help,1
85,86,picked toward secret shade eye would drown together touch hand hand nt say anything,say,1
87,88,say pick sack,full come end row could help,1
89,90,could help,saw darl knew,1
91,92,say knew without word like told go die without word knew knew say knew word would believe saw u,say know say go tell pa go kill,1
93,94,without word say say,without word,1
95,96,talk know hat know,stand door look,1
97,98,want darl,say,1
99,100,go die say,old turkeybuzzard tull come watch die fool,1
101,102,go die,say,1
103,104,get back say,take jewel,1
105,106,say,want help load say,1
107,108,overall fade one knee serge patch cut pair sunday pant wore ironslick,man mislikes say,1
109,110,fellow get guess ahead say,come long short wont harm neither way,1
111,112,want get start right say,far enough jefferson best,1
113,114,road good say,fix rain tonight,1
115,116,folk buries new hope three mile away,like marry woman born day hard ride away die,1
117,118,look land rub knee,man mislikes say,1
119,120,get back plenty time say,would nt worry none,1
121,122,mean three dollar say,might wont need rush back noways say,1
123,124,hope,agoing say,1
125,126,mind set,hard woman fact,1
127,128,woman,mind mammy live seventy,1
129,130,work every day rain shine never sick day since last chap born one day kind look around go take lacetrimmed night gown fortyfive year never wore chest put laid bed pull cover shut eye,look pa best say,1
131,132,tire,anse rub hand knee,1
133,134,lord giveth say,hear cash ahammering saw beyond corner,1
135,136,true,never truer breath ever breathe,1
137,138,lord giveth say,boy come hill,1
139,140,carry fish nigh long,sling ground grunt hah spit shoulder like man,1
141,142,durn nigh long,say,1
143,144,hog,get,1
145,146,bridge say,turn side caked dust wet eye coat humped dirt,1
147,148,aim leave lay,anse say,1
149,150,aim show vardaman say,look toward door,1
151,152,hear talk come draft,cash knock hammer board,1
153,154,company say,folk say,1
155,156,enjoy see,say nothing watch door,1
157,158,look fish lay dust,turn foot prod eyebump toe gouge,1
159,160,anse look land,vardaman look anse face door,1
161,162,turn go toward corner house anse call without look around,clean fish anse say,1
163,164,vardaman stop,cant dewey dell clean,1
165,166,say,clean fish anse say,1
167,168,aw pa vardaman say,clean anse say,1
169,170,dont look around,vardaman come back pick fish,1
171,172,slide hand smear wet dirt onto flop dirty gapmouthed goggleeyed hiding dust like ashamed dead like hurry get back hid,vardaman cuss,1
173,174,cuss like grown man stand astraddle,anse dont look around,1
175,176,vardaman pick,go around house tot arm like armful wood overlap end head tail,1
177,178,durn nigh big,anse wrist dangle sleeve never see shirt look like life,1
179,180,look like jewel might give old one,jewel though,1
181,182,longarmed even spindling,except lack sweat,1
183,184,could tell aint nobody else anse way without mistake,eye look like piece bumtout cinder fix face look land,1
185,186,shadow touch step say ifs five oclock,get cora come door say time get,1
187,188,anse reach shoe,mr bundren cora say dont get,1
189,190,put shoe stomp like everything like hop time really cant quit try,go hall hear clump floor like iron shoe,1
191,192,come toward door blinking eye kind look ahead hisself see like hop find set chair maybe maybe sweep look door surprised way like look find still bed every time dewey dell still afanning fan,stand like dont aim move nothing else,1
193,194,well reckon well get cora say,get feed chicken,1
195,196,fix rain,cloud like dont lie cotton make every day lord sends,1
197,198,something else,cash still trim board,1
199,200,ere thing cora say,ansell let u know say,1
201,202,anse dont look u,look around blinking surprised way like wore hisself surprised even surprised,1
203,204,hope,mind set say,1
205,206,let lord comfort,corn say,1
207,208,tell help get tight sick,like folk around holp much already cant quit,1
209,210,aim get today say,seem like cant get mind nothing,1
211,212,maybe hold till laidby say,god say,1
213,214,let comfort cora say,cash work careful barn,1
215,216,look pas,taint rush say,1
217,218,whenever get around,get wagon,1
219,220,cora set cake box lap,fix rain sho,1
221,222,dont know cora say,dont know,1
223,224,poor anse say,kept work thirtyodd year,1
225,226,reckon tire,reckon behind thirty year kate say,1
